STATUS | wrapper  | 2018/04/03 01:25:34 | Base configuration file is /usr/local/hpe/oo/central/conf/central-wrapper.conf
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.catalina.startup.VersionLoggerListener log
INFO   | jvm 1    | 2018/04/03 01:25:35 | INFO: Command line argument: -DCentral.UUID=b5fcc78f-fba4-463a-aa5e-00eeb3863f6e
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.catalina.startup.VersionLoggerListener log
INFO   | jvm 1    | 2018/04/03 01:25:35 | INFO: Command line argument: -DCentral.HOSTNAME=go4sapmaster.helion1.hpintelco.org
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.catalina.startup.VersionLoggerListener log
INFO   | jvm 1    | 2018/04/03 01:25:35 | INFO: Command line argument: -DCentral.login.hit.tolerance=2000
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.catalina.startup.VersionLoggerListener log
INFO   | jvm 1    | 2018/04/03 01:25:35 | INFO: Command line argument: -DCentral.login.suspend=300000
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.catalina.startup.VersionLoggerListener log
INFO   | jvm 1    | 2018/04/03 01:25:35 | INFO: Command line argument: -Doverride.startup.mode=LWSSO
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.catalina.startup.VersionLoggerListener log
INFO   | jvm 1    | 2018/04/03 01:25:35 | INFO: Command line argument: -Dusage.hostname.verification.policy=any
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.catalina.startup.VersionLoggerListener log
INFO   | jvm 1    | 2018/04/03 01:25:35 | INFO: Command line argument: -Dkey.pass={ENCRYPTED}fBa1s2IuP+Ao/Jzt1FRQIyayq/CFki1ts6zjC3PAxwc=
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.catalina.startup.VersionLoggerListener log
INFO   | jvm 1    | 2018/04/03 01:25:35 | INFO: Command line argument: -Xms4096m
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.catalina.startup.VersionLoggerListener log
INFO   | jvm 1    | 2018/04/03 01:25:35 | INFO: Command line argument: -Xmx4096m
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.catalina.startup.VersionLoggerListener log
INFO   | jvm 1    | 2018/04/03 01:25:35 | INFO: Command line argument: -Djava.library.path=.
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.catalina.startup.VersionLoggerListener log
INFO   | jvm 1    | 2018/04/03 01:25:35 | INFO: Command line argument: -Dwrapper.key=GjN7WZ60EgLn2o2FKx73nZdQV9kqmg51
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.catalina.startup.VersionLoggerListener log
INFO   | jvm 1    | 2018/04/03 01:25:35 | INFO: Command line argument: -Dwrapper.port=32000
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.catalina.startup.VersionLoggerListener log
INFO   | jvm 1    | 2018/04/03 01:25:35 | INFO: Command line argument: -Dwrapper.jvm.port.min=31000
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.catalina.startup.VersionLoggerListener log
INFO   | jvm 1    | 2018/04/03 01:25:35 | INFO: Command line argument: -Dwrapper.jvm.port.max=31999
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.catalina.startup.VersionLoggerListener log
INFO   | jvm 1    | 2018/04/03 01:25:35 | INFO: Command line argument: -Dwrapper.disable_console_input=TRUE
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.catalina.startup.VersionLoggerListener log
INFO   | jvm 1    | 2018/04/03 01:25:35 | INFO: Command line argument: -Dwrapper.pid=862
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.catalina.startup.VersionLoggerListener log
INFO   | jvm 1    | 2018/04/03 01:25:35 | INFO: Command line argument: -Dwrapper.version=3.5.17-pro
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.catalina.startup.VersionLoggerListener log
INFO   | jvm 1    | 2018/04/03 01:25:35 | INFO: Command line argument: -Dwrapper.native_library=wrapper
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.catalina.startup.VersionLoggerListener log
INFO   | jvm 1    | 2018/04/03 01:25:35 | INFO: Command line argument: -Dwrapper.arch=x86
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.catalina.startup.VersionLoggerListener log
INFO   | jvm 1    | 2018/04/03 01:25:35 | INFO: Command line argument: -Dwrapper.service=TRUE
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.catalina.startup.VersionLoggerListener log
INFO   | jvm 1    | 2018/04/03 01:25:35 | INFO: Command line argument: -Dwrapper.cpu.timeout=10
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.catalina.startup.VersionLoggerListener log
INFO   | jvm 1    | 2018/04/03 01:25:35 | INFO: Command line argument: -Dwrapper.jvmid=1
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.catalina.startup.VersionLoggerListener log
INFO   | jvm 1    | 2018/04/03 01:25:35 | INFO: Command line argument: -Dwrapper.lang.domain=wrapper
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.coyote.AbstractProtocol init
INFO   | jvm 1    | 2018/04/03 01:25:35 | INFO: Initializing ProtocolHandler ["http-nio-8445"]
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.tomcat.util.net.NioSelectorPool getSharedSelector
INFO   | jvm 1    | 2018/04/03 01:25:35 | INFO: Using a shared selector for servlet write/read
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.catalina.startup.Catalina load
INFO   | jvm 1    | 2018/04/03 01:25:35 | INFO: Initialization processed in 646 ms
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.catalina.core.StandardService startInternal
INFO   | jvm 1    | 2018/04/03 01:25:35 | INFO: Starting service Catalina
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.catalina.core.StandardEngine startInternal
INFO   | jvm 1    | 2018/04/03 01:25:35 | INFO: Starting Servlet Engine: Tomcat
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.catalina.startup.HostConfig deployWAR
INFO   | jvm 1    | 2018/04/03 01:25:35 | INFO: Deploying web application archive /usr/local/hpe/oo/central/tomcat/webapps/PAS.war
INFO   | jvm 1    | 2018/04/03 01:25:39 | Apr 03, 2018 1:25:39 AM org.apache.jasper.servlet.TldScanner scanJars
INFO   | jvm 1    | 2018/04/03 01:25:39 | INFO: At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
INFO   | jvm 1    | 2018/04/03 01:25:39 | Apr 03, 2018 1:25:39 AM org.apache.catalina.core.ApplicationContext log
INFO   | jvm 1    | 2018/04/03 01:25:39 | INFO: No Spring WebApplicationInitializer types detected on classpath
INFO   | jvm 1    | 2018/04/03 01:25:39 | Apr 03, 2018 1:25:39 AM org.apache.catalina.core.ApplicationContext log
